option,param_name,num_cases,num_numeric_pairs,mean_abs_delta,p_increase,p_decrease,p_same,p_non_numeric
op1,IQfile,1,0,,0.0,0.0,0.0,1.0
op1,SCTP_INSTREAMS,2,2,1.0,0.5,0.5,0.0,0.0
op1,SCTP_OUTSTREAMS,2,2,1.5,0.0,1.0,0.0,0.0
op1,T1a_cp_dl,2,0,,0.0,0.0,0.0,1.0
op1,T1a_cp_ul,2,0,,0.0,0.0,0.0,1.0
op1,T1a_up,2,0,,0.0,0.0,0.0,1.0
op1,Ta4,2,0,,0.0,0.0,0.0,1.0
op1,att_rx,1,1,1.0,1.0,0.0,0.0,0.0
op1,att_tx,1,1,1.0,1.0,0.0,0.0,0.0
op1,bands,3,0,,0.0,0.0,0.0,1.0
op1,clock_src,3,0,,0.0,0.0,0.0,1.0
op1,dl_UL_TransmissionPeriodicity,2,2,3.5,0.5,0.5,0.0,0.0
op1,dl_carrierBandwidth,1,1,106.0,0.0,1.0,0.0,0.0
op1,dl_frequencyBand,4,3,1.3333333333333333,0.75,0.0,0.0,0.25
op1,dl_subcarrierSpacing,2,2,1.5,1.0,0.0,0.0,0.0
op1,dmrs_TypeA_Position,2,2,1.0,1.0,0.0,0.0,0.0
op1,do_precoding,2,2,1.0,1.0,0.0,0.0,0.0
op1,dpdk_devices,3,0,,0.0,0.0,0.0,1.0
op1,eNB_instances,3,0,,0.0,0.0,0.0,1.0
op1,f1ap_log_level,1,0,,0.0,0.0,0.0,1.0
op1,gNB_ID,1,0,,0.0,0.0,0.0,1.0
op1,global_log_level,3,0,,0.0,0.0,0.0,1.0
op1,hoppingId,2,2,20.5,0.5,0.5,0.0,0.0
op1,hw_log_level,2,0,,0.0,0.0,0.0,1.0
op1,initialDLBWPlocationAndBandwidth,1,1,1125.0,1.0,0.0,0.0,0.0
op1,io_core,2,2,2.5,0.5,0.5,0.0,0.0
op1,iq_width,2,2,5.0,0.5,0.5,0.0,0.0
op1,iq_width_prach,2,2,5.0,0.5,0.5,0.0,0.0
op1,kbar,2,2,1.0,1.0,0.0,0.0,0.0
op1,local_n_address,2,0,,0.0,0.0,0.0,1.0
op1,local_n_portc,2,2,250.5,0.5,0.5,0.0,0.0
op1,local_n_portd,2,2,1076.5,0.5,0.5,0.0,0.0
op1,local_rf,4,0,,0.0,0.0,0.0,1.0
op1,mac_log_level,2,0,,0.0,0.0,0.0,1.0
op1,max_pdschReferenceSignalPower,3,3,18.333333333333332,0.6666666666666666,0.3333333333333333,0.0,0.0
op1,max_rxgain,3,3,76.33333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0
op1,modelname,1,0,,0.0,0.0,0.0,1.0
op1,msg1_SubcarrierSpacing,2,2,1.0,0.5,0.5,0.0,0.0
op1,msg3_DeltaPreamble,2,2,1.0,0.5,0.5,0.0,0.0
op1,mtu,2,2,4500.5,0.5,0.5,0.0,0.0
op1,nb_rx,1,1,1.0,1.0,0.0,0.0,0.0
op1,nb_tx,3,3,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0
op1,ngap_log_level,1,0,,0.0,0.0,0.0,1.0
op1,nrofDownlinkSlots,2,2,4.0,0.5,0.5,0.0,0.0
op1,nrofDownlinkSymbols,2,2,3.5,0.5,0.5,0.0,0.0
op1,nrofUplinkSlots,2,2,1.5,0.5,0.5,0.0,0.0
op1,nrofUplinkSymbols,2,2,2.5,0.5,0.5,0.0,0.0
op1,num_cc,7,5,1.0,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
op1,ofdm_offset_divisor,3,3,5.666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0
op1,options,1,0,,0.0,0.0,0.0,1.0
op1,p0_NominalWithGrant,2,2,45.5,0.5,0.5,0.0,0.0
op1,p0_nominal,2,2,45.5,0.5,0.5,0.0,0.0
op1,pMax,1,1,20.0,0.0,1.0,0.0,0.0
op1,pdcp_log_level,1,0,,0.0,0.0,0.0,1.0
op1,pdsch_AntennaPorts_N1,1,1,1.0,0.0,1.0,0.0,0.0
op1,pdsch_AntennaPorts_XP,3,2,4.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
op1,phy_log_level,2,0,,0.0,0.0,0.0,1.0
op1,powerRampingStep,2,2,1.0,0.5,0.5,0.0,0.0
op1,prach_ConfigurationIndex,3,3,33.5,0.6666666666666666,0.3333333333333333,0.0,0.0
op1,prach_RootSequenceIndex,2,2,1.0,0.5,0.5,0.0,0.0
op1,prach_RootSequenceIndex_PR,2,2,1.5,0.5,0.5,0.0,0.0
op1,prach_dtx_threshold,3,3,80.66666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0
op1,prach_msg1_FDM,2,2,1.0,1.0,0.0,0.0,0.0
op1,preambleReceivedTargetPower,2,2,48.5,0.5,0.5,0.0,0.0
op1,preambleTransMax,2,2,3.5,0.5,0.5,0.0,0.0
op1,pucch0_dtx_threshold,2,2,75.5,0.5,0.5,0.0,0.0
op1,pucchGroupHopping,2,2,1.0,1.0,0.0,0.0,0.0
op1,ra_ContentionResolutionTimer,2,2,4.0,0.5,0.5,0.0,0.0
op1,ra_ResponseWindow,2,2,2.5,0.5,0.5,0.0,0.0
op1,referenceSubcarrierSpacing,2,2,1.0,0.5,0.5,0.0,0.0
op1,remote_n_address,2,0,,0.0,0.0,0.0,1.0
op1,remote_n_portc,2,2,251.0,0.5,0.5,0.0,0.0
op1,remote_n_portd,2,2,1076.5,0.5,0.5,0.0,0.0
op1,restrictedSetConfig,2,2,1.0,1.0,0.0,0.0,0.0
op1,rlc_log_level,1,0,,0.0,0.0,0.0,1.0
op1,rrc_log_level,1,0,,0.0,0.0,0.0,1.0
op1,rsrp_ThresholdSSB,2,2,10.0,0.5,0.5,0.0,0.0
op1,ru_addr,2,0,,0.0,0.0,0.0,1.0
op1,ru_thread_core,3,3,4.333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0
op1,serveraddr,2,0,,0.0,0.0,0.0,1.0
op1,serverport,1,1,1.0,1.0,0.0,0.0,0.0
op1,sf_extension,3,3,1.0,1.0,0.0,0.0,0.0
op1,sl_ahead,2,2,3.0,0.5,0.5,0.0,0.0
op1,ssPBCH_BlockPower,2,2,13.0,0.5,0.5,0.0,0.0
op1,ssb_PositionsInBurst_Bitmap,2,2,1.0,0.5,0.5,0.0,0.0
op1,ssb_perRACH_OccasionAndCB_PreamblesPerSSB,2,2,8.0,0.5,0.5,0.0,0.0
op1,ssb_perRACH_OccasionAndCB_PreamblesPerSSB_PR,2,2,2.5,0.5,0.5,0.0,0.0
op1,ssb_periodicityServingCell,2,2,1.5,0.5,0.5,0.0,0.0
op1,subcarrierSpacing,2,2,1.0,0.5,0.5,0.0,0.0
op1,system_core,2,2,1.0,1.0,0.0,0.0,0.0
op1,tr_n_preference,4,0,,0.0,0.0,0.0,1.0
op1,tr_s_preference,3,0,,0.0,0.0,0.0,1.0
op1,ul_carrierBandwidth,1,1,106.0,0.0,1.0,0.0,0.0
op1,ul_frequencyBand,1,1,2.0,1.0,0.0,0.0,0.0
op1,ul_subcarrierSpacing,1,1,1.0,1.0,0.0,0.0,0.0
op1,worker_cores,2,0,,0.0,0.0,0.0,1.0
op1,zeroCorrelationZoneConfig,2,2,7.0,0.5,0.5,0.0,0.0
op2,Active_gNBs,1,0,,0.0,0.0,0.0,1.0
op2,IQfile,1,0,,0.0,0.0,0.0,1.0
op2,SCTP_INSTREAMS,1,1,2.0,0.0,1.0,0.0,0.0
op2,SCTP_OUTSTREAMS,1,1,2.0,0.0,1.0,0.0,0.0
op2,absoluteFrequencySSB,4,2,326280.0,0.0,0.5,0.0,0.5
op2,clock_src,2,0,,0.0,0.0,0.0,1.0
op2,controlResourceSetZero,2,2,5.0,1.0,0.0,0.0,0.0
op2,dl_UL_TransmissionPeriodicity,3,3,4.666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0
op2,dl_absoluteFrequencyPointA,2,1,9992.0,0.5,0.0,0.0,0.5
op2,dl_carrierBandwidth,3,3,89.33333333333333,0.0,1.0,0.0,0.0
op2,dl_offstToCarrier,1,1,200.0,1.0,0.0,0.0,0.0
op2,dl_subcarrierSpacing,3,2,2.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
op2,dmrs_TypeA_Position,2,2,2.0,1.0,0.0,0.0,0.0
op2,do_precoding,1,1,2.0,1.0,0.0,0.0,0.0
op2,dpdk_devices,2,0,,0.0,0.0,0.0,1.0
op2,eNB_instances,1,1,1.0,0.0,1.0,0.0,0.0
op2,gNB_DU_ID,1,0,,0.0,0.0,0.0,1.0
op2,gNB_ID,1,0,,0.0,0.0,0.0,1.0
op2,global_log_level,1,0,,0.0,0.0,0.0,1.0
op2,hoppingId,2,2,984.0,1.0,0.0,0.0,0.0
op2,initialDLBWPcontrolResourceSetZero,2,2,4.5,1.0,0.0,0.0,0.0
op2,initialDLBWPlocationAndBandwidth,3,3,40375.0,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,initialDLBWPsearchSpaceZero,2,2,16.0,1.0,0.0,0.0,0.0
op2,initialDLBWPsubcarrierSpacing,3,3,2.0,1.0,0.0,0.0,0.0
op2,initialULBWPlocationAndBandwidth,3,2,50000.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
op2,initialULBWPsubcarrierSpacing,3,3,2.0,1.0,0.0,0.0,0.0
op2,iq_width,1,1,9.0,0.0,1.0,0.0,0.0
op2,iq_width_prach,1,1,8.0,1.0,0.0,0.0,0.0
op2,kbar,1,1,1.0,0.0,1.0,0.0,0.0
op2,local_n_address,2,0,,0.0,0.0,0.0,1.0
op2,local_n_portc,2,2,0.0,0.0,0.0,1.0,0.0
op2,local_n_portd,1,1,2151.0,0.0,1.0,0.0,0.0
op2,local_rf,1,0,,0.0,0.0,0.0,1.0
op2,maxMIMO_layers,2,2,7.0,1.0,0.0,0.0,0.0
op2,max_pdschReferenceSignalPower,1,1,77.0,1.0,0.0,0.0,0.0
op2,max_rxgain,1,1,86.0,1.0,0.0,0.0,0.0
op2,mcc,1,1,0.0,0.0,0.0,1.0,0.0
op2,min_rxtxtime,1,1,6.0,0.0,1.0,0.0,0.0
op2,mnc_length,2,2,1.0,0.5,0.5,0.0,0.0
op2,modelname,1,0,,0.0,0.0,0.0,1.0
op2,msg1_SubcarrierSpacing,3,3,1.6666666666666667,1.0,0.0,0.0,0.0
op2,msg3_DeltaPreamble,2,2,6.0,1.0,0.0,0.0,0.0
op2,mtu,2,2,5000.0,0.5,0.5,0.0,0.0
op2,nb_rx,1,1,4.0,0.0,1.0,0.0,0.0
op2,nb_tx,3,3,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0
op2,nr_cellid,2,2,504.0,0.5,0.5,0.0,0.0
op2,nrofDownlinkSlots,3,3,4.333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,nrofDownlinkSymbols,3,3,8.0,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,nrofUplinkSlots,3,3,3.6666666666666665,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,nrofUplinkSymbols,3,3,8.666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,num_cc,4,2,0.5,0.25,0.0,0.25,0.5
op2,ofdm_offset_divisor,1,1,8.0,0.0,1.0,0.0,0.0
op2,p0_NominalWithGrant,2,2,110.5,0.0,1.0,0.0,0.0
op2,p0_nominal,2,2,115.5,0.5,0.5,0.0,0.0
op2,pMax,3,1,24.0,0.3333333333333333,0.0,0.0,0.6666666666666666
op2,pdsch_AntennaPorts_XP,1,1,2.0,0.0,1.0,0.0,0.0
op2,physCellId,2,2,1008.0,1.0,0.0,0.0,0.0
op2,powerRampingStep,2,2,3.0,1.0,0.0,0.0,0.0
op2,prach_ConfigurationIndex,5,3,138.0,0.4,0.2,0.0,0.4
op2,prach_RootSequenceIndex,3,3,326.3333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,prach_RootSequenceIndex_PR,2,2,1.0,1.0,0.0,0.0,0.0
op2,prach_dtx_threshold,1,1,121.0,0.0,1.0,0.0,0.0
op2,prach_msg1_FDM,2,2,4.0,1.0,0.0,0.0,0.0
op2,prach_msg1_FrequencyStart,4,4,144.0,0.5,0.5,0.0,0.0
op2,preambleReceivedTargetPower,2,2,105.5,0.0,1.0,0.0,0.0
op2,preambleTransMax,4,4,5.75,0.5,0.5,0.0,0.0
op2,pucch0_dtx_threshold,1,1,150.0,0.0,1.0,0.0,0.0
op2,pucchGroupHopping,2,2,3.0,1.0,0.0,0.0,0.0
op2,pusch_AntennaPorts,2,2,3.5,0.0,1.0,0.0,0.0
op2,ra_ContentionResolutionTimer,2,2,1.0,1.0,0.0,0.0,0.0
op2,ra_ResponseWindow,3,3,65.0,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,referenceSubcarrierSpacing,3,3,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0
op2,remote_n_address,1,0,,0.0,0.0,0.0,1.0
op2,remote_n_portc,1,1,501.0,0.0,1.0,0.0,0.0
op2,remote_n_portd,1,1,63384.0,1.0,0.0,0.0,0.0
op2,restrictedSetConfig,2,2,3.0,1.0,0.0,0.0,0.0
op2,rsrp_ThresholdSSB,2,2,109.0,1.0,0.0,0.0,0.0
op2,ru_addr,2,0,,0.0,0.0,0.0,1.0
op2,ru_thread_core,2,1,7.0,0.0,0.5,0.0,0.5
op2,sd,1,0,,0.0,0.0,0.0,1.0
op2,searchSpaceZero,2,2,16.0,1.0,0.0,0.0,0.0
op2,serveraddr,2,0,,0.0,0.0,0.0,1.0
op2,serverport,1,1,65957.0,1.0,0.0,0.0,0.0
op2,sib1_tda,1,1,1.0,1.0,0.0,0.0,0.0
op2,sl_ahead,1,1,15.0,0.0,1.0,0.0,0.0
op2,ssPBCH_BlockPower,2,2,125.5,0.5,0.5,0.0,0.0
op2,ssb_PositionsInBurst_Bitmap,2,2,1.0,0.0,1.0,0.0,0.0
op2,ssb_perRACH_OccasionAndCB_PreamblesPerSSB,2,2,50.0,1.0,0.0,0.0,0.0
op2,ssb_perRACH_OccasionAndCB_PreamblesPerSSB_PR,2,2,5.0,1.0,0.0,0.0,0.0
op2,ssb_periodicityServingCell,2,2,6.0,1.0,0.0,0.0,0.0
op2,subcarrierSpacing,3,3,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0
op2,tr_n_preference,4,0,,0.0,0.0,0.0,1.0
op2,tr_s_preference,2,0,,0.0,0.0,0.0,1.0
op2,tracking_area_code,4,4,32767.0,0.5,0.5,0.0,0.0
op2,ul_carrierBandwidth,3,3,89.33333333333333,0.0,1.0,0.0,0.0
op2,ul_frequencyBand,2,2,1.0,1.0,0.0,0.0,0.0
op2,ul_offstToCarrier,1,1,200.0,1.0,0.0,0.0,0.0
op2,ul_subcarrierSpacing,2,2,2.0,0.5,0.5,0.0,0.0
op2,zeroCorrelationZoneConfig,3,3,6.333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
